Link,Title, Price  
https://www.amazon.com//ASUS-i3-1005G1-Processor-Fingerprint-F515JA-AH31/dp/B08H4YTTLP/ref=sr_1_189?keywords=laptop&qid=1653585592&sr=8-189,"ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Intel Core i3-1005G1 Processor, 4GB DDR4 RAM, 128GB PCIe SSD, Fingerprint Reader, Windows 10 Home in S Mode, Slate Grey, F515JA-AH31",$369.99 
https://www.amazon.com//ASUS-i7-1165G7-Fingerprint-Transparent-K712EA-DS76/dp/B094K27CSY/ref=sr_1_12?keywords=laptop&qid=1653585547&sr=8-12,"ASUS VivoBook 17 K712EA Thin and Light Laptop, 17.3” FHD Display, Intel Core i7-1165G7, 16GB DDR4 RAM, 1TB PCIe SSD, Windows 10 Home, Fingerprint, Transparent Silver, K712EA-DS76",$979.99 
https://www.amazon.com//ASUS-i7-1165G7-Processor-Fingerprint-F515EA-DB75/dp/B09F2KLRJV/ref=sr_1_185?keywords=laptop&qid=1653585592&sr=8-185,"ASUS VivoBook 15 F515 Thin and Light Laptop, 15.6” FHD Display, Core i7-1165G7 Processor, Iris Xe Graphics, 8GB DDR4 RAM, 512GB SSD, Fingerprint, Windows 10 Home, Slate Grey, F515EA-DB75",$769.99 
https://www.amazon.com//ASUS-i9-11900H-ScreenPad-Celestial-UX582HS-XH99T/dp/B09LYK1WWG/ref=sr_1_4?keywords=laptop&qid=1653585547&sr=8-4,"ASUS ZenBook Pro Duo 15 OLED UX582 Laptop, 15.6” OLED 4K UHD Touch Display, Intel Core i9-11900H, 32GB, 1TB, GeForce RTX 3080 Laptop GPU, ScreenPad Plus, Windows 11 Pro, Celestial Blue, UX582HS-XH99T","$2,999.00 "
https://www.amazon.com//ASUS-IPS-Type-i5-10300H-Keyboard-FX706LI-RS53/dp/B08ZLFLF7L/ref=sr_1_300?keywords=laptop&qid=1653585614&sr=8-300,"ASUS TUF Gaming F17 Gaming Laptop, 17.3” FHD IPS-Type Display, Intel Core i5-10300H, GeForce GTX 1650 Ti, 8GB DDR4, 512GB PCIe SSD, RGB Keyboard, Windows 10, Bonfire Black, FX706LI-RS53",$858.00 
https://www.amazon.com//ASUS-IPS-Type-i7-11800H-Processor-TUF706HEB-DB74/dp/B09F8QGTN7/ref=sr_1_89?keywords=laptop&qid=1653585574&sr=8-89,"ASUS TUF Gaming F17 Gaming Laptop, 17.3” 144Hz Full HD IPS-Type, Intel Core i7-11800H Processor, GeForce RTX 3050 Ti, 16GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 6, Windows 10 Home, TUF706HEB-DB74","$1,174.99 "
https://www.amazon.com//ASUS-IPS-Type-R7-3750H-GeForce-FX505DV-PB74/dp/B07SXTDL1S/ref=sr_1_192?keywords=laptop&qid=1653585592&sr=8-192,"ASUS TUF (2019) Gaming Laptop, 15.6” Full HD IPS-Type, AMD Ryzen 7 R7-3750H, GeForce RTX 2060, 16GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home, FX505DV-PB74",$979.00 
https://www.amazon.com//ASUS-Microsoft-15-Month-Subscription-Download/dp/B09Z7NPK6H/ref=sr_1_183?keywords=laptop&qid=1653585592&sr=8-183,"ASUS ROG Strix Scar 15 (2022) Gaming Laptop, 15.6” 300Hz IPS FHD Display, NVIDIA GeForce RTX 3070 Ti,Intel Core i9 12900H, Windows 11, Microsoft 365 Family | 15-Month Subscription | PC Download","$2,174.98 "
https://www.amazon.com//ASUS-Touchscreen-i5-1135G7-Processor-Fingerprint/dp/B09NQGCDWN/ref=sr_1_44?keywords=laptop&qid=1653585564&sr=8-44,"Newest ASUS VivoBook 15 Laptop, 15.6” Full HD Touchscreen, Intel Core i5-1135G7 Processor, 20GB RAM, 512GB SSD, Backlit Keyboard, Fingerprint Reader, HDMI, Wi-Fi, Windows 11 Home, Slate Gray",$769.00 
https://www.amazon.com//Asus-TUF-i5-11260H-Threads-Keyboard/dp/B09JFHRPKH/ref=sr_1_260?keywords=laptop&qid=1653585608&sr=8-260,"Asus TUF 17.3"" 144Hz FHD (1920 x 1080) Gaming Laptop, Intel Tiger Lake Core i5-11260H (6 Cores,12 Threads), NVIDIA GeForce RTX 3050 Ti , Backlit Keyboard,Windows 10, (8GB RAM | 512GB PCIe SSD)",$924.00 
